30 33
6 6 1 1 6 6 6 6 0 0 0 0 0 0 0 0 0 0 0 0 6 6 0 0 0 0 0 0 0 0
6 6 1 0 6 6 6 6 6 0 0 0 0 0 0 0 0 0 0 6 6 6 0 0 6 6 6 0 0 0
6 6 1 1 6 6 6 6 6 0 0 0 0 0 0 0 0 0 6 6 6 6 6 6 6 6 6 6 0 6
6 6 6 1 1 6 6 6 6 0 0 0 0 0 0 0 6 0 6 1 1 1 6 6 6 6 6 6 6 6
6 6 6 6 1 6 6 6 6 0 0 0 0 0 0 6 6 1 1 1 6 1 1 1 0 6 6 6 6 6
6 6 6 6 1 1 6 6 6 0 0 0 0 0 0 6 6 1 0 6 6 6 0 1 0 0 0 0 6 6
0 6 6 6 6 1 1 6 6 6 0 0 0 0 0 0 6 1 1 6 6 6 1 1 0 0 0 0 6 6
0 0 6 6 6 6 1 1 0 6 0 0 0 0 0 0 6 6 1 6 6 6 1 0 0 0 0 6 0 6
0 0 0 6 6 6 6 1 1 1 1 1 0 0 0 0 6 0 1 1 1 1 1 0 0 0 0 0 0 6
6 0 0 0 6 6 6 6 6 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 6 0 0 0 6 6 6 6 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 6 6 0 6 6 6 6 6 1 1 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 0 0 0 6 6 6 6 6 1 0 0 0 0 0 6 6 0 0 6 0 0 0 0 0 0 0 0 0 0
0 0 6 6 6 1 1 1 1 1 0 0 0 0 0 6 6 1 6 6 0 0 0 0 0 0 0 0 0 0
0 6 6 1 1 1 6 6 6 0 0 0 0 0 0 6 1 1 6 0 0 0 0 0 0 0 0 0 0 0
6 6 1 1 6 6 6 0 0 0 0 0 0 0 0 1 1 6 6 6 0 0 0 0 0 0 0 0 0 0
6 1 1 6 6 6 0 0 0 0 0 0 0 0 1 1 6 6 6 6 0 0 0 0 0 0 0 0 0 0
6 1 0 6 6 0 0 0 0 0 0 0 0 0 1 6 6 6 6 6 0 0 0 0 0 0 0 6 0 0
6 0 0 6 6 0 0 0 0 0 0 0 0 6 1 6 6 0 6 1 1 1 0 0 0 0 6 6 0 6
6 0 0 6 6 0 0 0 0 0 0 0 0 6 1 6 6 6 1 1 0 0 0 0 1 1 6 0 0 6
6 6 0 6 6 0 0 0 0 0 0 0 0 0 1 1 1 6 1 0 0 0 0 0 1 1 0 0 6 6
6 6 1 1 6 6 0 0 0 0 0 0 0 0 0 6 1 1 1 0 0 0 0 1 1 0 0 0 6 6
6 6 6 1 1 6 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 1 0 0 0 6 6 6
0 6 6 6 1 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 6
0 6 6 6 6 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 6 6
0 0 6 6 6 1 1 1 0 6 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
6 0 0 6 6 6 6 1 1 6 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0
6 6 0 0 0 6 6 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1
6 6 0 0 0 6 6 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0
6 6 0 0 0 6 6 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
6 6 0 0 6 6 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 6 6 6 0 0 0 0 0 0
6 0 0 6 6 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 6 6 6 6 0 0 0 1 1 1
6 0 6 6 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 6 6 6 6 0 0 1 1 0 0
0

7
4 2 1 111
28 6 1 808
18 11 2 902
18 19 2 306
21 25 3 306
3 30 1 806
21 30 2 807
