39 23
0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 6 6 6 0 0 0 6 1 1 1 1 1 1 1 1 1 1 1 1 6 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6 0 0 0 6 1 1 1 1 1 1 1 1 1 1 1 1 6 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6 0 0 6 6 1 1 1 1 1 1 1 1 1 1 1 1 6 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6 0 0 6 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 0 0 0 6 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 0 0 0 6 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 6 6 0 0 0 0 0 0 0 0 0 0 0 0 6 6
0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 6 6
0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 6 0 6 0 0 0 0 6 0 0 0 0 6 0 0 0 0 0 6 6 0 0 0 0 0 0 6 0 6 6
1 0 0 0 0 0 0 0 0 6 6 6 6 0 0 0 6 6 6 0 0 6 6 0 0 6 6 6 6 6 0 0 0 6 0 6 6 6 0
1 0 0 0 0 1 1 1 1 6 6 6 6 0 0 0 6 1 1 1 1 1 1 1 1 1 1 6 0 6 0 0 6 6 0 6 6 6 1
1 0 0 0 0 1 1 1 1 0 0 6 6 0 0 0 6 1 1 1 1 1 1 1 1 1 1 0 0 6 0 0 6 6 0 0 6 6 1
1 0 0 0 0 1 1 1 1 1 1 6 6 0 0 0 6 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 6 0 0 0 0 6 1
1 0 0 0 0 1 1 1 1 1 1 6 6 0 0 0 6 1 1 1 1 1 1 1 1 1 1 1 1 6 0 0 6 1 1 1 1 0 1
1 0 0 0 0 1 1 1 1 1 1 6 0 0 0 0 6 1 1 1 1 1 1 1 1 1 1 1 1 6 0 0 6 1 1 1 1 0 1
0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 6 6 0 6 6 1 1 1 1 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 1 1 0 6 6 0 6 0 1 1 1 1 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 6 6 0 6 6 1 1 1 1 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 6 1 1 1 1 0 6
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 6 6 6 6 6 6 6
1
9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 9 6 6 0 0 0 6 1 1 1 1 1 1 1 1 1 1 1 1 6 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6 0 0 0 6 1 1 1 1 1 1 1 1 1 1 1 1 6 0
