27 21
6 6 6 0 0 6 6 0 0 6 6 6 6 6 0 0 0 6 6 6 1 1 1 1 1 1 1
6 0 0 0 0 0 0 0 0 0 0 6 6 6 0 0 0 6 6 6 1 1 1 1 1 1 1
6 1 1 1 1 1 1 1 1 1 1 6 6 0 0 0 0 0 6 6 1 1 1 1 1 1 1
6 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 6 1 1 1 1 1 1 1
0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1
0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0
0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 1 0 0 1 1 0 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 6 1 1 1 1
0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 6 1 1 1 1
0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 6 6 1 1 1 1
6 6 0 0 6 6 6 0 0 0 0 0 1 1 1 1 1 1 1 1 0 6 6 1 1 1 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 6 0 1 1 1 1
1 1 1 1 1 1 1 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
1 1 1 1 1 1 1 6 6 6 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 6 6 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 0 0 0 0 0 6 0 0 0 0 0 0 0 1 1 1 0 0 0 6
1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 6 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 6 1 1 6 0 6 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1 1 1 1 6 6 1 1 0 0 6 6
6 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1 1 1 1 6 6 1 1 0 6 6 6
4
22 18 3 102
11 14 1 302
20 17 2 902
7 21 2 801


