20 20
6 6 6 1 1 1 6 1 1 0 0 0 0 1 1 1 1 0 1 6
6 6 6 1 0 1 1 1 1 0 0 0 6 0 0 0 0 1 1 6
6 6 0 1 1 6 0 0 0 0 0 0 6 6 0 0 1 1 6 6
6 0 1 1 1 6 6 0 0 0 0 0 6 6 1 1 1 6 6 6
6 1 1 0 1 1 6 0 0 0 0 0 0 0 1 6 6 6 6 6
6 1 1 1 1 1 1 0 0 0 1 1 1 6 1 6 6 6 6 6
6 1 1 1 1 1 1 0 0 0 1 1 1 6 1 1 1 1 1 1
1 1 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 1 1 1
1 1 1 1 1 0 0 0 0 1 1 1 0 0 0 0 1 1 6 1
6 0 6 0 1 1 1 0 0 1 1 1 0 0 6 6 1 1 6 6
6 0 6 6 0 0 1 1 6 6 1 1 0 0 6 6 0 1 1 6
6 0 0 6 0 0 0 1 6 6 6 6 0 0 1 1 6 0 1 6
6 6 0 0 0 0 1 1 0 6 6 6 6 1 1 1 6 0 1 6
6 6 0 1 1 1 1 0 0 0 6 6 6 1 1 1 1 1 1 6
6 6 6 1 0 0 0 0 0 0 0 0 6 0 1 1 1 6 6 6
6 1 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 6 6 6
1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 6
0 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 6
1 1 1 1 0 1 1 1 1 0 0 0 1 1 1 1 1 1 1 6
0

6
17 2 1 115
13 8 1 101
16 8 3 113
4 9 2 202
18 13 2 101
5 16 2 801


