25 40
5 5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 5 5 5 5 5 5 5 5 
5 5 5 5 0 0 5 5 5 5 5 0 0 0 0 0 5 5 5 5 5 5 5 5 5 
5 5 5 5 0 5 5 5 5 5 5 5 0 0 0 5 5 5 5 5 5 0 0 0 0 
5 5 5 5 0 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 0 0 0 0 0 
5 5 5 0 0 0 0 5 5 5 5 5 5 5 5 5 5 5 5 0 0 0 0 0 0 
5 5 5 0 0 0 0 0 5 5 5 5 5 5 5 5 5 5 5 0 0 0 0 0 0 
5 5 5 0 0 0 0 0 0 0 0 0 5 5 5 5 5 5 5 0 0 0 0 0 5 
5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 
5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 
5 5 5 5 0 0 0 0 0 0 5 5 5 5 5 5 5 0 0 0 0 0 0 0 5 
0 5 5 5 0 0 0 0 0 0 5 5 5 5 5 5 5 0 0 0 0 0 0 0 5 
0 0 0 5 0 0 0 0 0 0 5 5 5 5 5 5 5 0 0 0 0 0 5 5 5 
0 0 0 0 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 5 5 5 
0 0 0 5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 5 5 5 5 0 0 
0 0 5 5 5 0 0 0 0 0 0 0 0 0 0 5 5 5 5 5 5 5 5 0 0 
5 5 5 5 5 0 0 0 0 0 0 0 5 5 5 5 5 5 5 5 5 5 5 0 0 
5 5 5 0 0 0 0 0 0 0 0 0 5 5 5 5 5 5 5 5 5 5 5 5 5 
5 5 5 0 0 0 0 5 0 0 0 0 5 5 5 5 5 5 5 5 5 5 5 5 5 
5 5 0 0 0 0 0 5 5 0 0 0 0 0 0 0 0 5 5 5 5 5 5 0 0 
5 5 0 0 0 0 0 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
5 5 0 0 0 0 0 5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
5 5 0 0 0 0 0 0 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
5 5 5 5 0 0 0 0 0 5 5 5 5 0 0 0 0 0 0 0 0 0 0 0 5 
5 5 5 5 5 5 0 0 0 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0 5 
5 5 5 5 5 5 5 0 0 0 0 0 0 5 5 0 0 0 0 0 0 0 0 0 0 
5 5 5 5 5 5 5 0 0 0 0 0 0 5 5 5 5 5 5 0 0 0 0 0 0 
0 5 5 5 5 5 5 0 0 0 0 0 0 5 5 5 5 5 5 0 0 0 0 0 0 
0 0 5 5 5 5 5 0 0 0 0 0 0 5 5 5 5 5 5 0 0 0 0 0 0 
0 0 0 5 5 5 0 0 0 0 0 0 0 0 5 5 5 0 0 0 0 0 0 0 5 
0 0 5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 
0 5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 5 
0 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 5 
0 5 5 0 0 0 0 0 0 5 5 5 0 0 0 0 5 5 0 0 0 0 0 5 5 
0 5 5 0 0 0 0 0 0 5 5 5 0 0 0 0 5 5 0 0 0 0 0 5 5 
0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 5 5 0 0 0 0 0 5 5 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 5 0 0 0 0 5 5 5 
0 5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 5 5 5 5 
5 5 5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 5 5 5 5 
5 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 5 5 5 5 5 0 
5 5 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0 5 5 5 5 5 0 0 
0

6
14  2 2 103
1  12 1 113
22 24 1 111
11 27 1 903
2  29 1 902
7  31 3 112
