24 24
1 1 1 1 1 1 1 0 0 0 6 0 0 0 0 0 0 0 1 1 1 1 1 1
1 1 1 1 1 0 0 0 0 6 6 0 0 0 0 0 0 0 1 1 1 1 1 1
1 1 0 0 0 0 0 0 0 6 6 0 0 0 6 0 0 0 0 0 0 1 1 1
1 1 0 0 0 0 0 0 0 0 6 0 0 6 6 0 0 0 0 0 0 0 1 1
1 1 0 0 0 0 0 0 0 0 0 1 1 6 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 1 1 6 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 1 1 0 1 1 6 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 1 1 0 1 1 6 0 0 1 1 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 1 1 0 0 0 0 0 0
1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 0 1 1 0 0 0 0 0 0
0 1 1 0 0 0 0 0 0 1 1 1 1 1 1 0 1 1 0 6 0 0 0 0
0 0 1 0 0 0 0 0 0 1 1 1 1 1 1 6 0 0 0 6 6 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 6 6 0 0 6 6 0 0 0
1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 6 6 6 0 6 6 0 0 0
1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 6 6 6 0 0 6 0 0 0
1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 6 6 6 0 0 0 0 0 0
1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 6 6 0 0 0 0 0 0
1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
