22
101 10 5 1 40 0
102 80 40 1 120 0
103 300 150 1 300 0
104 800 400 1 999 0
105 1000 500 2 80 0
106 2 1 2 300 0
107 20 10 3 0 0
108 20 10 4 0 0
109 0 0 1 0 0
110 0 0 1 0 0
111 10000 5000 5 20 0
112 10000 5000 6 20 0
113 10000 5000 7 9 0
114 10000 5000 8 9 0
115 20000 10000 9 1 0
116 10000 5000 10 7 0
117 1000 1000 11 10 1
118 1000 1000 1 500 1
119 1000 1000 12 10 1
120 1000 1000 13 10 1
121 1000 1000 14 10 1
122 1 1 1 999 0

98
201 1 50 25 10 0 95 1
202 1 250 125 20 0 95 1
203 1 800 400 40 0 90 1
204 1 1500 750 65 0 80 1
205 1 2400 1200 90 0 85 1
206 1 4200 2100 110 0 80 1
207 1 7800 3900 165 0 90 1
208 1 9600 4800 150 0 120 1
209 1 10000 5000 240 0 100 1
210 1 18000 9000 280 0 100 1
211 1 25000 12500 320 0 120 1
212 1 1 1 80 0 100 1
213 1 1 1 20 0 90 1
214 1 1 1 50 0 95 1
215 1 1 1 80 0 120 1
216 1 5000 2500 120 0 120 1
217 1 1 1 130 30 100 1
218 1 8800 4400 165 0 90 1
219 1 14800 7400 200 0 120 1
220 1 20000 10000 400 30 120 1
221 2 300 150 20 0 90 1
222 2 800 400 35 0 90 2
223 2 800 400 60 0 95 1
224 2 2000 1000 90 0 85 1
225 2 3200 1600 120 0 85 1
226 2 5600 2800 145 0 85 1
227 2 12500 6250 180 0 100 1
228 2 12800 6400 255 0 100 1
229 2 15500 7750 300 0 100 1
230 2 22000 11000 340 0 100 1
231 2 28000 14000 380 0 100 1
232 2 40000	20000 400 0 80 1
233 3 80 40 20 0 90 2
234 3 400 200 28 0 90 2
235 3 200 100 50 0 85 2
236 3 1800 900 85 0 90 2
237 3 4400 2200 120 0 85 2
238 3 6000 3000 150 0 100 2
239 3 24000 12000 150 0 100 2
240 3 8800 4400 190 0 90 2
241 3 11200 5600 240 0 100 2
242 3 16000 8000 280 0 110 2
243 3 24000 12000 320 0 110 2
244 3 30000 15000 400 20 120 2
245 4 100 50 20 0 90 3
246 4 500 250 40 0 90 4
247 4 1800 900 75 0 90 4
248 4 4800 2400 110 0 90 5
249 4 7200 3600 130 0 90 4
250 4 12000 6000 155 0 90 5
251 4 8800 4400 180 0 90 4
252 4 13500 6750 210 0 90 5
253 4 20000 10000 250 0 90 5
254 4 32000 16000 320 0 90 5
255 4 40000 20000 400 40 120 6
256 5 150 75 8 0 85 1
257 5 180 90 25 0 80 1
258 5 640 320 60 0 80 1
259 5 1000 500 80 0 80 2
260 5 5600 2800 120 0 90 1
261 5 8800 4400 150 0 90 1
262 5 10000 5000 180 0 90 1
263 5 10000 45000 200 0 100 1
264 5 15000 7500 220 0 120 1
265 5 22400 11200 280 0 120 1
266 5 30000 15000 400 50 140 1
267 6 500 250 20 0 100 1
268 6 850 425 50 0 100 1
269 6 1200 600 80 0 100 1
270 6 3600 1800 100 0 100 1
