61

701 1 211 7 1 1 14 0 4 21
702 1 211 8 3 2 24 0 4 33
703 1 111 5 2 1 18 0 4 0 
704 1 121 5 4 1 14 0 4 30
705 4 121 10 6 2 20 0 5 30
706 3 121 8 2 1 16 0 5 40
707 3 121 10 3 2 22 0 5 60
708 1 151 2 1 2 10 5 3 50
709 1 151 12 5 4 39 20 3 130
710 1 152 14 6 4 29 24 4 200
711 1 154 17 7 5 41 17 3 120
712 1 154 5 2 1 12 4 3 50
713 1 111 5 2 1 16 0 4 50
714 1 111 16 7 4 30 0 4 120
715 1 155 18 8 4 33 20 4 160
716 1 141 4 2 2 12 0 4 40
717 2 141 12 7 4 46 0 5 30
718 1 111  1  1 1 1 1 1 100
719 1 212 1 2 1 14 0 4 0
720 1 121 20 12 5 120 0 4 120
721 1 121 24 9 5 34 0 4 120
722 1 121 10 5 2 23 0 4 70
723 1 121 25 15 6 60 0 4 120
724 1 161 20 12 4 36 0 6 110
725 1 162 24 12 6 46 0 5 160
726 1 162 22 12 5 45 0 5 150
727 1 181 34 26 12 70 0 5 200
728 6 152 28 16 7 38 4 5 170
729 6 152 30 18 6 40 5 6 180
730 6 152 31 20 6 40 6 6 200
731 1 111  1  1 1 1 1 1 100
732 4 151 11  6 3 20 30 6 120
733 4 111 16 11 5 24 0 7 30
734 1 133 16  7 3 31 0 9 80
735 4 111 13  8 3 25 0 6 100
736 1 131  8  1 1 15 0 7 40
737 1 131 20  2 1 7 0 8 30
738 1 131  8  2 2 20 0 8 75
739 1 142 20 10 6 30 0 5 130
740 1 142 17 8 6 36 0 4 128
741 1 131 26 12 4 44 4 8 180
742 1 131 22 6 5 48 0 8 160
743 1 121 8 4 2 18 0 4 45
744 7 191 20 16 3 40 0 4 80
745 7 191 36 14 5 4 0 18 150
746 7 191 20 13 3 100 0 5 140
747 7 191 15 16 3 34 0 4 150
748 7 191 0 20 0 100 0 0 180
749 7 191 22 12 4 45 0 7 120
750 1 212 1 3 1 12 0 4 0
751 1 121 20 10 40 90 0 5 255
752 1 111 4 3 2 30 0 4 99
753 8 999 22 10 3 150 14 2 250
754 8 999 20 16 4 160 20 3 250
755 8 999 23 10 4 145 28 5 250
756 8 999 24 9 4 140 25 4 250
757 8 999 15 8 3 300 200 5 255
758 9 999 20 10 4 80 80 0 250
759 9 999 20 10 4 80 80 0 250
760 9 999 20 10 4 120 80 0 250
761 9 999 31 28 5 42 0 4 100


27

 701 701 2 2 201 301 0
 702 702 3 2 201 301 0
 703 703 2 2 201 301 0
 
 719 719 3 1 301 0
 750 750 3 1 301 0
 
 704 704 3 2 202 303 0
 743 743 5 2 202 303 0
 
1701 701 5 2 202 302 0
1702 702 6 2 202 302 0
 706 706 6 2 213 302 0
 708 708 3 2 257 337 1 101
 712 712 3 2 257 337 1 201
 
2701 701 7 2 202 304 0
2702 702 7 2 202 304 0
1703 703 7 3 202 304 102 0
1706 706 7 3 213 304 802 0
1708 708 6 2 257 337 1 101
1712 712 7 2 257 337 1 201
 737 737 7 2 233 302 0
 752 752 8 4 214 304 102 102 0
 
1743 743 9 5 203 317 102 102 102 0
1704 704 8 2 203 302 0
2708 708 7 2 257 337 1 106
3708 708 7 2 257 337 2 101 202
 716 716 8 2 246 304 0
 713 713 7 3 203 304 102 0
 738 738 10 2 236 320 0
 




