16

1 2
101 0   8  11 5 7 3 4 10 12 7 8  1 1
201 811 11 12 7 9 2 3 12 14 8 11 2 2

2 3
102 0   9 11 5 7 2 3 12 14 12 15 1 1
202 806 9 11 5 7 2 4 12 14 11 15 1 1
302 812 9 10 6 8 3 4 12 16 20 28 2 2

3 2
103 0 10 12 7 8 2 3 12 15 0 0 1 1
203 809 9 12 7 8 2 3 12 15 0 0 2 2

5 2
105 0 13 16 9 10 2 3 15 19 0 0 0 0
205 807 13 15 10 11 2 2 15 18 8 11 1 1

6 2
106 0 9 10 7 9 2 3 9 12 0 0 1 1
206 808 12 13 8 9 2 3 10 14 0 0 1 1

7 1
107 0 8 9 6 8 2 3 10 14 5 6 1 1

8 2
108 0 8 11 7 8 3 4 11 12 12 15 1 1
208 806 9 12 5 7 3 4 11 12 14 17 1 1

9 2
109 0 8 11 4 6 2 3 8 10 0 0 1 1
209 808 9 12 4 6 2 3 11 12 0 0 1 1

10 2
110 0 10 13 6 8 3 4 13 17 0 0 0 0
210 810 12 14 7 8 3 5 14 17 0 0 1 1

11 2
111 0 9 12 8 9 2 3 11 14 0 0 1 1
211 809 9 13 8 9 2 3 11 13 0 0 2 2

12 2
112 0 8 12 5 9 3 4 13 15 11 13 1 1
212 806 8 12 5 9 3 4 13 15 11 13 1 1

13 2
113 0 10 13 8 9 2 3 12 15 0 0 1 1
213 809 10 13 7 8 2 3 12 14 0 0 2 2

14 2
114 0 8 13 6 8 3 3 8 9 18 20 1 1
214 806 8 8 7 8 3 4 8 10 15 17 1 1

15 1
115 0 11 13 8 10 2 3 12 17 0 0 1 1

16 2
116 0 14 18 11 14 2 3 16 20 0 0 0 0
216 807 13 15 11 14 2 2 16 21 8 10 1 1

17 2
117 0 9 12 7 9 2 3 14 16 0 0 0 0 
217 810 10 14 7 8 2 4 14 17 0 0 1 1
