2 5  401
2 9  102
2 15 302
2 21 103
2 26 303

14 20 110
14 24 107

8 7  404
8 11 202
8 16 402
8 24 301
8 30 501

12 18 403
12 24 405
12 30 406

18 2 116

24 15 111
24 20 402

101 4 113

107 4 115

102 3  303
102 7  104
102 13 403
102 22 111

114 4  103
114 8  108
114 12 111

108 3  203
108 9  405
108 18 403
108 23 204

112 4  203
112 10 301
112 18 204
112 25 402

201 4  203
201 8  104
201 14 108
201 21 109
201 25 112
201 30 501

205 4  402
205 11 203
205 19 404

216 3  403
216 9  203
216 16 404

202 3  203
202 9  109
202 17 405
202 21 402
202 25 104

208 3  203
208 9  109
208 16 403
208 21 405
208 26 204

212 3  203
212 8  109
212 15 303
212 20 405
212 25 204

214 4  203
214 10 109
214 15 301
214 20 404
214 24 108

302 2  407
302 6  408
302 11 501
302 16 104
302 19 205
302 23 118


-1
